QUARTER,PKG,GROWTH
2010 Q3,CPAN,1%
2010 Q3,PyPI,8%
2010 Q3,Rubygems.org,16%
2011 Q1,CPAN,7%
2011 Q1,PyPI,24%
2011 Q2,CPAN,3%
2011 Q2,Pear (PHP),1%
2011 Q2,PyPI,11%
2011 Q2,Rubygems.org,16%
2011 Q3,CPAN,17%
2011 Q3,CPAN (search),3%
2011 Q3,PyPI,11%
2011 Q3,Rubygems.org,15%
2011 Q4,CPAN,2%
2011 Q4,CPAN (search),2%
2011 Q4,CRAN (R),7%
2011 Q4,Hackage (Haskell),8%
2011 Q4,PyPI,9%
2011 Q4,Rubygems.org,13%
2012 Q1,CPAN,2%
2012 Q1,CPAN (search),2%
2012 Q1,CRAN (R),6%
2012 Q1,Hackage (Haskell),8%
2012 Q1,Pear (PHP),1%
2012 Q1,PyPI,8%
2012 Q1,Rubygems.org,12%
2012 Q2,CPAN,2%
2012 Q2,CPAN (search),2%
2012 Q2,CRAN (R),5%
2012 Q2,Hackage (Haskell),7%
2012 Q2,Pear (PHP),2%
2012 Q2,PyPI,10%
2012 Q2,Rubygems.org,13%
2012 Q3,CPAN,2%
2012 Q3,CPAN (search),2%
2012 Q3,CRAN (R),5%
2012 Q3,Hackage (Haskell),6%
2012 Q3,npm (node.js),37%
2012 Q3,nuget (.NET),23%
2012 Q3,Pear (PHP),1%
2012 Q3,PyPI,9%
2012 Q3,Rubygems.org,12%
2012 Q4,CPAN,3%
2012 Q4,CPAN (search),3%
2012 Q4,CRAN (R),4%
2012 Q4,Hackage (Haskell),6%
2012 Q4,npm (node.js),33%
2012 Q4,nuget (.NET),23%
2012 Q4,PyPI,10%
2012 Q4,Rubygems.org,10%
2013 Q1,CPAN,3%
2013 Q1,CPAN (search),3%
2013 Q1,CRAN (R),3%
2013 Q1,Hackage (Haskell),6%
2013 Q1,npm (node.js),30%
2013 Q1,nuget (.NET),18%
2013 Q1,PyPI,9%
2013 Q1,Rubygems.org,10%
2013 Q2,Clojars (Clojure),16%
2013 Q2,CPAN,3%
2013 Q2,CPAN (search),3%
2013 Q2,CRAN (R),5%
2013 Q2,Hackage (Haskell),5%
2013 Q2,npm (node.js),32%
2013 Q2,nuget (.NET),21%
2013 Q2,Pear (PHP),1%
2013 Q2,PyPI,11%
2013 Q2,Rubygems.org,10%
2013 Q3,Clojars (Clojure),12%
2013 Q3,CPAN,2%
2013 Q3,CPAN (search),2%
2013 Q3,CRAN (R),6%
2013 Q3,Hackage (Haskell),6%
2013 Q3,Maven Central (Java),9%
2013 Q3,npm (node.js),28%
2013 Q3,nuget (.NET),16%
2013 Q3,Packagist (PHP),38%
2013 Q3,PyPI,9%
2013 Q3,Rubygems.org,9%
2013 Q4,Clojars (Clojure),11%
2013 Q4,CPAN,2%
2013 Q4,CPAN (search),2%
2013 Q4,CRAN (R),4%
2013 Q4,Hackage (Haskell),5%
2013 Q4,Maven Central (Java),7%
2013 Q4,npm (node.js),26%
2013 Q4,nuget (.NET),17%
2013 Q4,Packagist (PHP),32%
2013 Q4,PyPI,9%
